sampleID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224
S_15277396,0.37474597,0.11886832,0.18797208,0.18741271,0.15612625,0.28574693,0.6646426,0.13169555,0.34249684,0.20333646,0.002046218,0.4217733,0.40511268,0.07804591,0.03064124,0.4408866,0.6062147,0.310287,0.14485191,0.12964377,0.6064652,0.91241044,0.001550683,0.0685999,0.25416282,0.5498138,0,0.60627156,0.2422413,0.03249431,0.080980375,1.0667789,0.012904814,2.0834377,0.029100472,0.39324376,0.36688083,0.04384295,0.7321635,0,0.12957877,0.15149699,0.47275108,0.99125236,0.5421102,1.7495768,0.04363532,1.2081755,2.04385,1.4023529,0.031772286,0,0.038350187,0.006355188,0.23957042,0.091894306,1.3567028,3.6094677,0.30930212,0.728806,0.36463708,0.047521517,0.6919825,0,0.042762306,0,0.055471092,0,0.03974655,0.36061576,0,0.018324377,0.34241012,0.87472874,0.37225008,0.81165713,0.6183722,0.72488964,0.9975748,0.49703506,0.09954101,0.385669,1.5243948,0.26890534,0.41369885,0,0.003861246,0.09352362,0,1.0191871,0,0.31425333,0,0,0.5472465,0.5536867,0.79419583,2.3563306,0.047488976,1.1542776,0.42628807,0.14997281,0.33584443,0.8649653,0.02156927,0.102062635,0.77374035,0.2415014,0.013000445,0.028654147,0.39859593,0,0.30399898,0.0923763,0.16903768,1.0449837,0.4234248,0,0.091144376,0.19220956,0.34403136,0.320556,0.032931164,0.2687823,0.07113976,7.197217,0.33109412,0.43039185,0.018132765,0.019017333,0.000842296,0.47902474,0.10617049,0.03822134,0.12952228,0.24576335,0.6164874,0.6566296,0.29816708,0.19725664,0.60394627,0.003091129,1.1280521,0.07312351,0.02282614,0.12945645,0.019316174,0.35808352,0.1272769,0.284521,0.778276,0,0.27502856,2.0484388,0.97830194,0.013670571,0.07889356,0.42987937,0.3100563,0,0.602221,0.32162234,0.2557013,0,0,1.313467,0.011296864,0.002318909,0.32710037,0.2655188,0.22575645,0,3.9943511,0.04605301,0.042432945,1.5725052,0.1376778,0.27697337,2.79087,0.059232622,0.028582022,0.001736789,0.837844,0.7451889,0.35705334,0.050954245,0.22471061,0.34773314,0,0.3175982,0.786258,0.05322759,0.028450077,0.1953076,0.24620274,0.58204466,0.7323374,0.12322311,0.84035516,0.26389134,0.28262302,0.026285203,0.8762976,0.021919718,0.38630995,0.08369532,0.002323005,0.08974429,0.15203579,0.3538338,0.11994852,0.001633802,0.019115733,0.090478644,0.15130746,0.41393334,0.004393296,0.2988175,0.019693859,1.113889,0.19912031,0.3512627,0,0.28725362
S_15277407,0.66340613,0.29044804,0.42441347,0.3647477,0.34361818,0.2617723,0.5039633,0.07690532,0.03314136,0.18708014,0.019949812,0.17220096,0.67676747,0.20943642,0,0.28083694,0.3124026,0.015839076,0.011773876,0.7211426,0.16313669,0.16728078,0.003410298,0,0.2854491,0.5129887,0.009172891,6.05E-05,0.39680433,0.043674488,0.20838234,0.38490447,0.13451968,3.3477454,0.08562324,0.57049847,0.4582834,0.03123705,1.1851861,0,0.27848935,0.41033512,0.3395138,0.90546596,0.74818844,1.6734209,0.1118864,1.3985592,2.0604718,1.5190059,0.05051785,0.451285,0.06383171,0.110020705,0.19185124,0.17270952,1.0152535,3.6074324,0.3665925,1.248124,0.43883592,0.15091287,0.781366,0.035531633,0.076191224,0.03767348,0.4673103,0,0.2586369,0.1758016,0.18470572,0.016976941,0.43835157,1.7693864,0.55585283,0.50664616,1.1327429,0.9574589,1.000728,0.795504,0.33539313,0.56842923,1.3607289,0.24061114,1.0367767,0.031122113,0.37234777,0.003998179,0,1.075466,0.006845581,0.29394597,0.001717736,0.19062231,1.4441605,1.2887702,1.0953233,3.3213742,0.15515557,1.0676209,0.45933467,0.16790843,0.13636343,1.0054969,0,0.44851673,1.2793051,0.61140877,0.01661522,0,0.2544699,0,0.7711898,0.59060067,1.2577436,0.57820445,0.39896446,0,0.8078595,0.06962132,0.3049946,0.08007545,0.005470149,0.43476003,0.15922059,6.804423,0.1681782,0.97670925,0.016128153,0.15375835,0.019028498,0.3637374,0.17073296,0.17681313,0.38635284,0.027069217,0.8499052,0.7347022,1.0033635,1.2308292,0.37217396,0.07678232,0.5991679,0.007172081,0.087760516,0.10802373,0.004004579,0.41319224,0.014526879,0.029195175,0.08834178,0.13681306,0.5120681,1.9463094,0.7414571,0.7374314,0.21459138,0.048048604,1.1678115,0,1.1822948,0.74064845,0.21850988,0,0,2.185077,0.07040653,0.002028726,0.26545414,0.6692508,0.14960526,0.06226141,4.109383,0.4505844,0.057265855,2.3726943,0.14257668,0.64293915,2.4279828,0.09737413,0.195361,0,0.24742955,1.6498156,0.5114702,0.11607923,0.20292656,0.1986407,0.15142284,0.041343827,1.0355475,0.07426382,0.35387588,0.37301615,0.09845633,0.7781247,1.4129953,0.17835122,1.3213766,0.18152638,0.90341717,0.08468733,0.077944204,0.3133451,0.82075346,0.37804186,0.025499132,0.1250204,0.15940064,0.66166747,0.7553236,0.10819162,0.01620174,0.08220829,0.05942706,0.28422102,0.017698376,0.27930188,0.52362716,0.4828833,0.1277311,0.7599798,0,0.3158653
S_15277418,0.5884752,0.10586706,0.16073725,0.082761005,0.00206111,0.041003574,0.299921,0.048923988,0.11637653,0,0.00424487,0.005247671,0.36202404,0.09163831,0,0.15130864,0.57343304,0.14701766,0.004421603,0.108701296,0.88606167,0.49145764,0.016636975,0.3296571,0.015441766,0.6975097,0,0.029938405,0.058449104,0.008945618,0.109639265,0.37683877,0.013971294,3.7101266,0.059533425,0.499707,1.1333956,0,0.6914737,0,0.24950582,0.20063584,0.004408136,0.4539995,0.30521715,1.5123699,0.1693557,0.8399963,1.501733,1.2201142,0.11860059,0.036101423,0,0,0.15915789,0,0.8386821,3.812515,0.26303962,0.7602872,0.4375785,0,0.39331666,0,0.060347814,0.011444992,0.08816904,0,0.031357396,0.09714982,0,0.019358905,0.28416675,0.8710606,0.3889235,0.28153643,1.3952948,0.7632671,0.9009088,0.28771302,0.36974174,0.6576067,1.8075714,0.49328855,0.9459346,0.001411082,0.0068844,0.002592784,0,0.86032534,0,0.02299556,0.005810003,0,0.64490336,1.1771002,1.291871,2.3238974,0.19604729,0.6407097,0.23232912,0.12767275,0.16392618,1.3205845,0,0.57005787,0.9654511,0.34989417,0.1427277,0,0.14774463,0,0.61368996,0.028701458,0.08528108,0.51813173,0.35651842,0,0.002715169,0.014322957,0.012368752,0.11018108,0,0.059555274,0.02981476,8.1972885,0.011069945,0.10457735,0.05261242,0.095533475,0.03362153,0.07066256,0.005611589,0.001010926,0.42958778,0.15158147,0.45280623,1.4472504,0.122490786,0.19958284,0.1694988,0,0.38483846,0.075721994,0.038865514,0.11507436,0.020434929,0.2905926,0.08776521,0,0.011302021,0,0.29756162,2.4478364,0.6682292,0.069900215,0.044566397,0.19284241,0.46355155,0,0.44999576,0.45813647,0.17423864,0,0.022408146,1.8793774,0,0,0.06740939,0.89902973,0.18426655,0,4.054316,0.07109481,0.021301936,1.9029571,0.11923544,0.2650054,3.3461964,0.008824085,0,0,0.7790694,0.59990674,0.9344289,0.11570235,0.053560223,0.012565231,0.002983299,0.03263663,0.7100398,0.06030652,0.1468204,0.061832983,0.22493394,0.59574574,0.82097316,0.1862951,1.3790193,0.22150664,0.5710113,0.009854794,0.3328833,0.09950778,0.7066043,0.14988022,0,0.005848314,0,0.96056,0.090504654,0.073081985,0.073322095,0.004738888,0.010051965,0.6611715,0,0.07213306,0.03982404,0.49408776,0.68290454,0.56431687,0,0.2598384
S_15277419,0.46231613,0.13187976,0.20127423,0.30776665,0,0.094219886,0.25272697,0.09448725,0,0.011918655,0,0.00410679,0.16410768,0.09489087,0,0.120522596,0.61343825,0.48152298,0.024121191,0.09556077,0.5207298,0.71425587,0,0.033701707,0.028940074,0.42403665,0,0.008051472,0.017907253,0.033490226,0.12402831,0.76344943,0.06326428,3.7339456,0.124775864,0.37089893,1.4910274,0.030579781,1.1935846,0,0.18400313,0.12872358,0.04599028,0.44579038,0.12824433,1.1696377,0.14495969,0.77460915,1.4017953,0.7704733,0.13831216,0.031332508,0.012866379,0,0.08507306,0,0.38437513,4.52827,0.040622633,0.7355594,0.3635816,0.021195743,0.3270294,0,0.1876793,0.20360394,0.16484366,0,0.027157078,0.02748588,0,0,0.17474906,0.7826601,0.4887929,0.30473325,1.3181988,0.6077097,0.4823686,0.19208634,0.017029237,0.79810685,1.798788,0.58074284,0.8513516,0,0.029964194,0,0,0.8419051,0,0.027051669,0.001923247,0,0.99980885,1.7870743,1.3508834,2.0067792,0.033874657,0.9683275,0.18286629,0.10087951,0.22820741,0.33964276,0.033197895,0.7928695,1.1592753,0.38807464,0.16425595,0.008242134,0.4152757,0,0.98530257,0.16261484,0.004887601,0.6555366,0.2693895,0,0,0.081729114,0.007562441,0.15238185,0.004150073,0.17722988,0.11282994,8.777677,0.23142076,0.051522538,0.1549842,0.19716519,0.008576145,0.13055104,0.000367657,0.001949559,1.1483997,0.39744067,0.39394167,1.6248962,0.14872596,0.085783474,0.015272153,0,0.49747875,0.024187233,0.028686373,0.076248944,0.018346228,0.77810216,0.031221928,0,0.04970588,0,0.09409285,2.3431072,0.6855703,0.014442317,0.04733648,0.17386372,0.6157425,0,0.37957552,0.68110275,0.31380093,0,0,1.2402693,0,0,0.027301393,2.0422554,0.33736825,0,4.1281204,0.005175285,0.12597536,2.4667652,0.2120805,0.3879393,3.1952138,0.033001993,0,0.006314165,0.25643283,0.6739589,0.79528856,0.4111371,0.20051716,0.043800052,0,0.031049993,1.0494236,0.05610554,0.95337754,0.02701063,0.49238244,0.74272233,0.9806076,0.18896376,1.3799081,0.2923532,0.88687164,0.18062171,0.09270131,0.2338745,0.07116356,0.053951778,0,0,0.001179136,0.67701703,0.24263085,0.004333139,0.016230669,0,0.007502542,0.56460464,0,0.07363535,0.028304553,1.6561463,0.6939557,0.7392434,0,0.3836163
S_15277430,0.7209814,0.121171884,0.13813904,0.24814166,0.0221174,0.060477402,0.268556,0.4173332,0.002136524,0.020127218,0.013724207,0.062733784,0.45515263,0.084867574,0.00362506,0.27149674,0.8053653,0.048564877,0.12549825,0.14096455,0.2797125,0.29505095,0,0.009195101,0.07988967,0.55514073,0,0.048303958,0.42069077,0.008235414,0.2127851,0.7082372,0.096811324,3.5562463,0.0957693,0.38886392,1.3856754,0.06831173,1.747051,0,0.251261,0.27503017,0.1422614,0.59090394,0.45047495,0.9146213,0.082787834,0.6113158,1.6587772,0.68727374,0.065411896,0.005826369,0.06583313,0,0.104736954,0,0.5446232,3.7686036,0.2621597,1.1247648,0.3358597,0.030859476,0.41363844,0.02158838,0.4156507,0.032358706,0.3021161,0,0.07189451,0.07869138,0,0.03874841,0.20706344,0.853165,0.75192255,0.7940241,1.217968,0.5489379,1.0249108,0.18576404,0.24737917,1.1383702,1.6588187,0.6220359,0.54456526,0,0.17707437,0,0,0.9298869,0,0.21999063,0.004623301,0,0.92875654,1.3353587,1.2580171,1.8942722,0,1.0455344,0.09561666,0.16730234,0.20166603,0.66537267,0.039684817,0.43957078,1.4402038,0.5178952,0.30277613,0,0.33721796,0,0.83615035,0.32240444,0.1288491,0.707593,0.2717696,0,0,0.06223359,0.049231183,0.12635691,0,0.1899836,0.17995036,8.390942,0.19135232,0.04721381,0.046426404,0.17028871,0.08921189,0.23917851,0.023818538,0,0.9058487,0.36678305,0.5212171,1.3060752,0.38928175,0.113592125,0.20115438,0.035818078,0.4622533,0.031637553,0.06522179,0.08474613,0.001177909,0.8130918,0.027101884,0.021108521,0.030913893,0,0.2713229,2.3659556,0.7232551,0.15064423,0.18577516,0.26109007,0.74009955,0,0.44479805,0.44114333,0.3214116,0,0.015147889,1.8600652,0,0.099221885,0.15944822,1.3760514,0.38607526,0,4.110759,0,0.0963754,2.2340424,0.34133914,0.59381056,2.4096708,0.116242446,0,0.008194521,0.5403226,0.67096764,0.5572213,0.39076054,0.12234269,0.012410649,0,0.11754209,1.4171457,0.13138494,0.92139816,0.16244298,0.48274812,0.5106995,0.65350854,0.33815977,1.0394639,0.2238451,1.1770288,0.00767079,0.42799464,0.11396027,0.015740931,0.041663498,0.02973956,0.000827606,0.004440573,0.48332268,0.08082996,0.005639744,0.019156903,0.008798787,0.02916742,0.33008024,0,0.32384115,0.10555734,1.5588146,0.5098382,0.80982786,0,0.22650832
S_15277441,0.85100806,0.022620954,0.10662976,0.38911322,0.003280552,0.15292676,0.55142236,0.24892387,0.10631943,0,0,0.26692083,0.4186236,0.12351784,0,0.29299626,0.6254077,0.26005638,0.16034609,0.3020035,0.33516678,0.19934075,0.027385654,0.010845256,0.15615705,0.47957104,0.00641718,0,0.21509026,0.035646793,0.29176784,0.9244883,0.060307886,3.147067,0.49799004,0.18876967,1.0068127,0.03428217,1.1728117,0,0.26304126,0.30061883,0.43284544,0.53211653,0.5851907,1.2040696,0.013268154,1.0265263,2.1640453,0.8608689,0.09941134,0,0.20382094,0,0.03488929,0,0.5866224,5.050352,0.06718642,1.0162634,0.6535321,0,0.5424377,0,0.22530384,0,0.43205017,0,0.20035517,0.21102484,0.009035677,0.009823601,0.1652817,0.7601337,0.40731254,0.6757947,1.2028896,0.632553,0.87054265,0.2858695,0.11978018,0.82317346,1.4265386,0.4719184,0.28012154,0,0.22975264,0,0.001364853,0.96047825,0,0.2970196,0.033313964,0.015796019,1.2803079,1.1747061,0.75281847,1.9499695,0,1.7452133,0.16755657,0.024716029,0.68537223,0.45766044,0.00758515,0.5188645,0.761853,0.30536714,0.018350216,0.1405592,0.35141253,0.12694284,0.7497073,0.17177412,0.3405359,0.7968259,0.4105223,0,0,0.07959494,0.13304049,0.20855509,0.044092014,0.04478249,0.2706711,9.131939,0.28847095,0.15954515,0.012425459,0.065261595,0.004272838,0.546513,0.07822907,0.000938164,0.62642944,0.1412451,0.8061974,0.799317,0.07615366,0.17300461,0.38206723,0.000160094,0.8911221,0.06437407,0.15961035,0.418449,0.028047452,0.8482598,0.054971136,0.042854495,0.1778433,0,0.072178975,3.2698426,0.84606606,0.12602845,0.13386616,0.066666424,0.5817361,0,0.23311774,0.28176558,0.36213383,0,0.012765788,1.5970163,0.003273482,0.08919124,0.17111053,1.0530494,0.16534674,0.026932038,4.937004,0.17177041,0.09499091,2.1740978,0.1057098,0.56486416,2.334335,0.018801525,0.002778676,0,0.1851112,0.9778381,0.53897357,0.24285881,0.022522882,0.0703523,0.004534858,0.1909479,0.8163155,0.08734989,0.489999,0.062339094,0.21759994,0.81550455,0.6491948,0.26766297,1.3832494,0.23421595,0.7436356,0,0.047985043,0.21177433,0.31142518,0.06065844,0,0.16852823,0.21707769,0.28635886,0.728614,0,0.06315998,0.006613189,0.006035602,0.35396627,0,0.2688255,0.03697904,1.420488,0.22962022,0.5847494,0,0.27832168
S_15277452,1.0544848,0.03910735,0.47094053,0.3291353,0.007846352,0.031914625,0.34527233,0.06741265,0.22159494,0.020753263,0,0.016394958,0.39691395,0.04831195,0,0.119130254,1.1950125,0.5354663,0.122557156,0.088177964,0.5305249,0.6723948,0.058559176,0.18777442,0.42475063,0.62470216,0.0678443,0.13890602,0.017895065,0.0763884,0.34345242,0.5776917,0.009585266,3.773054,0.16672792,0.69131523,1.5255235,0.024385585,1.6815673,0,0.084335044,0.18537772,0.10807372,0.3823018,0.47979066,1.5701644,0.3897418,0.952074,1.8654876,1.1982567,0.1721038,0.39733008,0.013041086,0.015590044,0.13634484,0,0.549768,3.8768008,0.08860954,0.913395,0.28376177,0.003543102,0.018631412,0,0.2940743,0.04534016,0.21057206,0,0.11426953,0.123656936,0.08171154,0.014800633,0.26984677,0.5897978,0.32006967,0.6313915,1.6154562,0.68506646,0.8413875,0.31939095,0.14240026,1.0180686,2.494426,0.43637437,1.0140138,0.2755409,0.1788735,0.010004703,0.030914651,1.2431617,0,0.01000379,0.02359353,0.000816261,0.90994465,2.336661,1.6674378,1.7414662,0.001704872,1.3314118,0.16302535,0.07209303,0.09512663,0.5728959,0.037364118,0.43592656,0.9396364,0.9782742,0.07888186,0.16758987,0.7182663,0.009702309,1.304976,0.16917484,0.30151987,0.4330275,0.39683396,0,0,0.1504495,0.02782607,0.18232086,0,0.2778874,0.04459284,8.752442,0.015266725,0.15330933,0.019867012,0.31908953,0.030382607,0.058861427,0.010584589,0,1.5680099,0.34798658,0.44330525,1.9885513,0.007891792,0.18261203,0.3179344,0.06845953,0.9554271,0.050223906,0.020936307,0.03264613,0.014752106,0.43763024,0.029433172,0.015936997,0.46147957,0,0.47092983,2.82623,1.0293677,0.22577935,0.17200106,0.46773633,0.7190086,0,0.33249897,0.9659782,0.2596944,0,0,1.6851096,0,0.008624031,0.11156034,1.9167833,0.3780764,0,4.330155,0.37326103,0.24643154,2.8323195,0.6030637,0.3843206,3.1970122,0.22717315,0.01685039,0.006307959,0.31730542,0.6289069,0.97959757,0.64948314,0.18744451,0.05932593,0.16316177,0.22558512,1.2914236,0.6542523,0.5112813,0.015061713,0.3531798,0.83339036,0.89558154,0.6526991,1.030208,0.85264367,1.3552723,0.20187047,0.50547284,0.16177812,0.4182144,0.2045964,0,0.005102116,0.10534715,1.1630874,0.15037034,0.018441908,0.04389712,0.002339852,0.050792206,0.7110505,0.000811425,0.123063125,0.1848136,1.0963842,0.8069821,0.7601752,0,0.53376406
S_15277463,0.7265145,0.067281246,0.16202375,0.36061454,0.19735332,0.039539397,0.6434282,0.14287293,0.008880397,0.003830253,0.00387487,0.232278,0.5450328,0.24656165,0,0.17690764,0.68919134,0.17449264,0.000404342,0,0.61702096,0.25546974,0.003623918,0.005119995,0.309466,1.1846043,0.01716576,0,0.002212829,0.027502704,0.45802012,0.5356541,0.07812391,3.2516904,0.10419549,0.61625373,0.5431069,0.004355247,0.98532605,0,0.15675104,0.41048482,0.03183817,0.4416913,0.6830776,1.3574564,0.034929592,1.293134,1.5841912,1.6625926,0.11204609,0,0.005688512,0,0.000485024,0,0.7883865,3.6976113,0.26066217,0.58653206,0.2869108,0.002245204,0.43658268,0.002100715,0.3796488,0.000508705,0.47790557,0,0.5749033,0.10105123,0,0.013101859,0.35809845,0.74501044,0.4432927,0.46767777,1.6370034,0.60806465,0.9600375,0.40672076,0.2888479,0.32874733,1.4391068,0.16362227,0.9247501,0.03456303,0.047301244,0.01706419,0.010722574,1.2468482,0,0.072319925,0.08713946,0,0.9360951,1.4652437,1.291844,2.3421566,0.034769893,0.8340423,0.29159558,0.15089409,0.12407652,1.4811233,0.092806436,0.28476304,0.62642956,0.772264,0,0,0.18588282,0,0.5368836,0.008610983,0.23088786,0.6100847,0.3920255,0,0.012798051,0.2163807,0.08787062,0.0435946,0,0.3598241,0.026081022,7.949552,0.010196951,0.083034046,0.030147037,0.0262473,0.022789454,0.3873854,0.005106921,0.001961949,0.19423567,0.05858091,0.7729868,0.98925394,0.024264207,0.11862166,0.52153224,0.1533681,0.7531339,0.14827073,0.036396462,0.46718916,0.005388723,0.2716172,0.018933725,0,0.001174921,0,0.23616122,2.2839637,0.65307665,0.031479746,0.08245108,0.11107896,1.1440654,0.001167465,0.3627948,0.61449915,0.10472109,0,0,2.865916,0,0.000349052,0.0941145,0.3974879,0.3609837,0,4.3657556,0.003883842,0.051598296,1.965092,0.24278595,0.4115739,3.0351315,0.10346771,0,0.008510583,0.46631333,0.4725482,0.82074606,0.24561699,0.056613605,0.14401491,0.019160587,0.2500212,0.8730921,0.40024832,0.08634628,0.067249425,0.32470667,0.54583037,0.5955692,0.27902943,1.1837251,0.050673403,0.6345444,0,0.09156005,0.104438685,0.67856497,0.08342091,0,0.059230756,0.0495862,1.3137758,0.003321854,0.001462691,0.025856301,0,0.00354145,0.5769786,0.002655134,0.009450582,0.009552835,0.21406804,0.6619408,0.5206064,0,0.7544175
S_15277474,1.1444975,0.3410839,0.4107156,0.114959426,0.023042742,0.10299384,0.6801023,0.15231498,0.5031173,0.03493545,0.002762612,0.20213218,0.6275808,0.01020083,0,0.2561683,0.71558285,0.20747349,0.06594122,0.35690653,0.66598153,0.18454246,0.012581352,0.12101819,0.5169084,0.5459887,0,0.017715288,0.108829476,0,0.5811342,0.8328331,0.016734539,3.2363396,0.081353515,0.50108206,0.3565673,0.000570351,1.3163576,0,0.14516436,0.53525585,0.3981152,1.3115182,0.8942625,1.2666587,0.22932589,1.2911068,2.0208707,2.3903885,0.040398348,0.007321961,0.0981213,0.116185635,0.13190125,0.023509368,0.41909558,3.4656472,0.3571018,0.89684826,0.3058231,0.004357781,0.6759908,0,0.19892323,0.000914686,0.4307658,0,0.4894081,0.023804436,0.1592861,0.004301421,0.1507045,1.0998356,0.6031749,0.9376383,1.0857558,0.58162737,1.0969367,0.57743305,0.18835679,0.7572266,2.0058963,0.1223208,0.6093782,0.029019939,0.35399553,0.018387102,0.08577035,0.7852821,0,0.28041193,0.10935256,0.008440184,0.6721727,1.0415612,1.7096455,2.9884036,0.22351818,1.2861605,0.61375695,0.03688656,0.21695887,0.6891203,0.010494527,0.6117373,0.84083426,0.7824246,0.050670955,0.20212644,0.61638737,0,0.5748788,0.17423333,0.52250904,1.2995347,0.514316,0,0.3487733,0.39260402,0.3417716,0.32392183,0,0.3174602,0.36483625,7.50071,0.41866928,0.027474033,0.037108105,0.07522197,0.008450199,0.76332223,0.26866543,0.005675493,0.3458055,0.1982355,0.8187025,0.83493954,0.3561134,0.18494067,0.3399307,0.08220666,0.8143681,0.0642978,0.06458892,0.21669707,0.019965723,0.801927,0.03132062,0.022682175,0.30672646,0,0.48832703,2.280241,1.1113973,0.08971578,0.38394105,0,1.4438959,0,0.53562605,0.45099688,0.30811688,0,0,2.7571595,0.005227897,0.000263971,0.23624758,0.27723613,0.18296482,0,5.103017,0.01767859,0.21811487,2.494012,0.15189794,0.5544324,2.330144,0.213522,0.10043957,0.000427785,0.46980652,1.1288965,0.5297065,0.16018541,0.19095472,0.09773277,0.27210462,0.18960208,1.3760393,0.3360256,0.31331658,0.055519942,0.13647033,0.7173315,0.8808041,0.52833736,0.7003008,0.05348161,0.6424937,0.071867414,0.13691758,0.010662012,0.8685218,0.18509999,0.02457061,0.10154766,0.002151577,0.80238,0.028621541,0.005028523,0.10548624,0,0.105506524,0.8059887,0,0.049625758,0.14203152,0.40660816,0.18255025,0.53384304,0,0.35233167
S_15277483,0.49746972,0.09617207,0.18648875,0.60134125,0.030330546,0.103759825,0.2576768,0.15746449,0.085081995,0.039094027,0.08170801,0.20896295,0.6197399,0.07490971,0,0.27577105,0.7733999,0.20256792,0.011934886,0.25548545,0.6782619,0.35165593,0.017931662,0.111896835,0.28420293,0.63248086,0.000455187,0,0.33926573,0.14909065,0.6700529,1.0345763,0,3.4433749,0.46746504,0.5489011,0.7486081,0.014944498,1.1764216,0,0.45393002,0.2795923,0.5437266,0.54066956,0.4166379,1.8657368,0.094522245,1.890865,2.8023665,1.11762,0.041049268,0.011214416,0.17354693,0,0.0919234,0,0.8706574,4.72733,0.29838642,1.1155186,0.32354537,0,0.6199788,0,0.10876281,0,0.17339921,0,0.37638193,0.22860393,0.001772868,0.00210325,0.36042234,0.74002254,0.5602231,0.4925006,0.9049818,0.4882149,0.8403354,0.5796716,0.14839765,1.0461341,1.7571648,0.20827149,0.54875076,0.004578535,0.17024194,0,0.000895411,1.2981851,0,0.11440787,0.01722304,0.015698474,1.5662143,1.9918746,1.0335189,2.515492,0.026726285,1.0253764,0.60335785,0.016572429,0.56617343,1.1497504,0.057724018,0.26121792,0.7242899,0.5161743,0.32336777,0.16159868,0.5015918,0.035091016,0.90649766,0.36401764,0.4281703,0.6701223,0.31553853,0,0.05102977,0.12299064,0.036536943,0.16257064,0.033899374,0.002790212,0.000386744,8.685793,0.14768456,0.12358248,0.00057749,0.11467765,0.05026722,0.5720369,0.098787256,0.005630408,0.55063325,0.033925157,0.85606146,1.4725454,0.7440951,0.10920483,0.24620998,0.16172557,0.6974592,0.11190656,0.25715113,0.39544463,0.017169435,0.725779,0.05343264,0,0.6306307,0.029446457,0.30430815,2.7908607,0.93534833,0.012347722,0.21031846,0.17652588,1.0064754,0,0.48683068,0.5732821,0.20173392,0,0.002364122,2.418862,0.000307159,0.027221926,0.18533514,1.5020244,0.33257318,0.005490006,5.4618797,0.024632517,0.14673242,2.4803715,0.18571281,0.3362972,2.544493,0.060033724,0,0.003306818,0.10414015,1.2270051,0.5736654,0.37665403,0.0558075,0.081863776,0.07285856,0.3153355,0.97450614,0.27257058,0.25286222,0.50670624,0.43782705,1.1090155,1.0751046,0.16707376,1.2536699,0.21725148,1.2283797,0.02637957,0.15739809,0.4596783,0.44102097,0.15884867,0.03558446,0.007040851,0.45797923,0.45192885,0.3092597,0,0.14590523,0,0.009650114,0.57478416,0,0.22463068,0.2077785,0.8316602,1.0517156,0.667378,0,0.3597038
