SampleID,g__Actinomyces;,g__Acinetobacter;,g__Lactobacillus;,g__Bacteroides;,g__Simplicispira;,g__Rothia;,g__Anaerococcus;,g__Staphylococcus;,g__Burkholderia;,g__Neisseria;,g__Corynebacterium;,g__Porphyromonas;,g__Aeromonas;,g__Streptococcus;,Unclassified,g__Stenotrophomonas;,g__Haemophilus;,g__Veillonella;,g__Macrococcus;,g__Leptotrichia;,g__Propionibacterium;,g__Prevotella;,g__Granulicatella;,g__Lautropia;,g__Chryseobacterium;,g__Peptoniphilus;,g__Pseudomonas;,g__Streptophyta_Group;,g__Gemella;,g__TM7;,g__Rhodococcus;,g__Bifidobacterium;,g__Enhydrobacter;,g__Massilia;,g__Brevundimonas;,g__Ralstonia;,g__Paracoccus;,g__Sphingomonas;,g__Amaricoccus;,g__Neisseriaceae_Group;
S_15277396,0.0106288,0.0136349,0.00114161,0,0,0.0171636,0.000944784,0.0470444,0,0.0976671,0.0249581,0.0131679,0.000664301,0.0436687,0.00153527,0.0202637,0.0137781,0.0059049,0,0.00897545,0.303984,0.0189429,0.0163566,0.00206672,0.00531441,0.000354294,0.00298296,0.00484202,0.00171242,0.00224386,0.00342484,0.000236196,0.0294064,0.000153527,0.00797162,0.000354294,0.0090345,0.00215529,0.000767637,0.145423
S_15277407,0.00107554,0.00315425,0.00520168,0,0,0.00258129,0.0324616,0.0412771,0.000130368,0.006023,0.173904,0.00101687,0.000156442,0.00680325,0.00127109,0.0112442,0.00335046,0.00101687,0,0.000195552,0.535382,0.00485947,0.00250307,0.000625766,0.00860429,0.0246787,0.00271361,0.000547545,0.000912576,0,0.00168175,0,0.0359816,8.60E-05,0.00136886,0,0.00453681,0.000469325,0.000312883,0.000469325
S_15277418,7.98E-05,0.000559308,0.0011565,4.65E-05,0.00159517,0,0.039002,0.0634002,0.000398793,0,0.0226581,0.00534383,0.000558311,0.000970397,0,0.0032834,0,0,0,0,0.768634,0.047935,0,0,0,0.0169022,0.000183445,0,0,0,0.000159517,7.98E-05,0,0.000350938,0,0,0,3.99E-05,0,0
S_15277419,0.000411162,0.000481744,5.48E-05,0.000191875,8.22E-05,0.000338066,0.00444055,0.306321,0.000137054,0.000191875,0.00895875,0.000164465,0.000438572,0.00205124,0.00115125,0,0.000187307,0.000328929,0,0.000109643,0.656077,0,0.000246697,0.000109643,0.000520805,0.000986788,0.000317965,0.000164465,0.000100506,0,0,0,0.000657859,4.93E-05,0.000191875,0.000137054,0.000493394,0.000219286,0.000603037,0.00411162
S_15277430,0,0.000692705,0.000130461,0,0.00588337,0.000101002,0.00141403,0.212533,0.00191904,0.000202004,0.00138457,0.000732264,7.58E-05,0.000878296,0.00131303,0.0083495,0.000782765,0.000126252,0,0,0.743829,0.00323206,0.000151503,0,0.000883767,0.00155291,0.000139509,0,4.21E-05,0,0.000126252,0,0.00103527,0.000927535,0.000353507,0,0.000404008,0.000391383,0.000429258,0
S_15277441,0.00283048,0.00556706,0.00272161,0.000217729,0.0242223,0.000925348,0.00391912,0.155752,0.0110497,0.00114308,0.0118753,0.000707619,0.00125194,0.00499869,0.00781102,0.034383,0.00404613,0.000925348,0,0.000272161,0.575185,0.00527993,0.00103421,0.000326593,0.000435458,0.00400077,0.00206933,0,0.000163297,0,0.00408242,0,0.00293934,0.00252566,0.00370139,0,0.000272161,0.000272161,0.000108864,0
S_15277452,0.00186617,0.000900947,0.000179706,0.000165882,0.0279097,0.00335911,0.00700852,0.139645,0.0107409,0.00692558,0.01316,0.00286147,0.000435441,0.015716,0.00455485,0.0377382,0.0037047,0.00290294,0.000414705,0.000995293,0.603811,0.00200095,0.00286147,0.000165882,0.000497646,0.00255044,0.0016761,0.000290294,0.00261264,0.000497646,0.000207353,0.000110588,0.00642793,0.00328654,0.000704999,0,0.00398117,0.000435441,0,0
S_15277463,0.000106329,0.00162152,4.73E-05,0.00256292,0.00852994,0,0,0.0771101,0.00349704,0,0.00190604,0.000118143,0.00109873,0.000419408,0.000212658,0.0231876,0.000283544,0,0,0,0.839029,0.00035443,0,0,0.000165401,0,0.00102745,0.000283544,6.30E-05,0.000401687,0,0,0.00158312,0.00137991,0.0113654,0.000259915,0.000401687,0,0.000330801,0
S_15277474,0.000979766,0.00286763,0.000508027,0.180511,0.00718495,0.00286672,0.000326589,0.0350974,0.00250385,0.0126281,0.00662249,0.00134264,0.000635033,0.0357016,0.00359247,0.0134143,0.00254013,0.00308445,0,0.00341104,0.100626,0.00118842,0.00616889,0.00177809,0.00587859,0.00185067,0.000885418,0,0.00441499,0.00101605,0,0.00435451,0.00214097,0.000783812,0.00696722,0,0.038864,0.000798328,0.00221354,0.0952096
S_15277483,0.00010856,0.000571748,0.000159824,0.000120967,0,0,0.000470425,0.0171741,0,7.24E-05,0.0264222,0,7.24E-05,0.000454141,0.000289493,0.00010856,0,0,0,0,0.946207,0.000123034,0,0,0,0.000560892,5.55E-05,0.000434239,0.00010856,0,0.000325679,0.000253306,0.00010856,0.000115797,0.000506612,0.000217119,0.000578985,0,0,0
